Elliptic curve parameters:
name = secp256k1
mode = test
p = 100003
a = 0
b = 2
g = (20002, 57568)
n = 99667

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
case         s           s_zk        s_rxk       s_zr        z           r           x           k-1         a           m1          m2          f                        x_recovered 
D3           53865       74921       78611       84225       30342       65485       87312       29490       23505       -           -           3.187449478834290576     -           
D2           53027       65555       87139       82368       38566       15751       87312       61935       23686       -           -           2.767668665034197416     -           
D3           79216       76601       2615        99235       16783       32092       87312       6246        19159       -           -           3.998173182316404822     -           
D8           84261       34947       49314       90949       52586       48391       87312       95932       4005        -           -           8.725842696629213483     -           
D0           50760       12729       38031       82623       83312       54987       87312       99587       18897       -           -           0.673598983965708842     -           
D135         33714       95461       37920       66721       32256       72988       87312       79181       707         -           -           135.0226308345120226     -           
D13          67401       81736       85332       74204       52436       58833       87312       108         6174        -           -           13.23874311629413670     -           
D3           48018       53334       94351       78915       94159       33588       87312       56338       17121       -           -           3.115121780269844051     -           
D26          25515       34540       90642       49740       24877       62686       87312       18563       1290        -           -           26.77519379844961240     -           
D82          23716       31807       91576       25837       86667       95916       87312       33892       385         -           -           82.61558441558441558     -           
D14          25911       15920       9991        50705       23247       45692       87312       56263       1117        -           -           14.25246195165622202     -           
D2           63759       38764       24995       88973       52180       36906       87312       5517        13331       -           -           2.907808866551646538     -           
D0           62440       1885        60555       89058       7937        840         87312       98738       9204        -           -           0.204802259887005649     -           
D3           52304       21115       31189       67552       60398       84975       87312       46451       6560        -           -           3.21875                  -           
D7           25572       73777       51462       41064       59424       56798       87312       10878       10080       -           -           7.319146825396825396     -           
D4           48464       58629       89502       83215       57683       10835       87312       22653       13713       -           -           4.275432071756727193     -           
